tile,ra,dec,star_ra,star_dec,mag,radius,class,tileRA,tileDec,ra_transform,radist,decdist
10.2_-28.2,9.75815163332615,-28.110079536248,9.79258739033085,-28.117087549569,9.00100613,3.05492111321551,2,10.2,-28.2,9.75815163332615,0.501357807731887,0.0899204637519979
10.2_-28.2,10.7601578406927,-27.6772632681672,10.7176299318487,-27.7169501179546,9.54184723,3.05492111321551,2,10.2,-28.2,10.7601578406927,0.635601550612549,0.522736731832801
10.3_-29.2,10.266708200598,-29.548396694067,10.2693427626579,-29.5208261593275,9.04139328,3.05492111321551,2,10.3,-29.2,10.266708200598,0.0381383404875332,0.348396694067002
10.3_-29.2,10.1248203246009,-29.4402769277858,10.1390039375765,-29.4208226449593,6.48382664,3.06517731262475,2,10.3,-29.2,10.1248203246009,0.200681916474149,0.2402769277858
10.3_-29.2,9.84136556930754,-29.0755124205001,9.87786775361093,-29.0854202430845,8.89723492,3.05492111321551,2,10.3,-29.2,9.84136556930754,0.525401341809233,0.124487579499899
10.4_-30.2,10.9730496118616,-30.456532374222,10.9277914551099,-30.4362720299794,8.8069315,3.05492111321551,2,10.4,-30.2,10.9730496118616,0.663040980213946,0.256532374222001
10.4_-30.2,9.90060628758957,-30.5517056725072,9.93966551008815,-30.5241976166885,9.52072716,3.05492111321551,2,10.4,-30.2,9.90060628758957,0.577818202360574,0.351705672507201
10.4_-30.2,10.1122974751866,-29.8393459790556,10.135012252599,-29.8678204452214,8.51386452,3.05492111321551,2,10.4,-30.2,10.1122974751866,0.332883157258601,0.360654020944398
10.4_-30.2,9.8442043694185,-29.7880115108715,9.88775833010537,-29.8202962743198,7.44008589,3.05492111321551,2,10.4,-30.2,9.8442043694185,0.643077444031825,0.4119884891285
10.5_-31.2,11.0496180914641,-31.1448262711898,11.0072942099386,-31.1490749784245,9.44450855,3.05492111321551,2,10.5,-31.2,11.0496180914641,0.642554426298996,0.0551737288101997
10.5_-31.2,10.3319601826942,-31.3207511377983,10.3458145281344,-31.3107955927247,9.1724205,3.05492111321551,2,10.5,-31.2,10.3319601826942,0.196454101641175,0.120751137798301
10.5_-31.2,10.0957764663771,-31.149079683058,10.1275135626913,-31.1530776269399,8.36688519,3.05492111321551,2,10.5,-31.2,10.0957764663771,0.472574729211914,0.0509203169419976
10.5_-31.2,10.5943835828,-30.7735655003969,10.5870146451349,-30.8068591003281,9.07944298,3.05492111321551,2,10.5,-31.2,10.5943835828,0.110343145249358,0.426434499603101
10.5_-31.2,10.1704775073922,-30.8307251503082,10.196061060258,-30.8593950069979,8.21800232,3.05492111321551,2,10.5,-31.2,10.1704775073922,0.385242297294449,0.369274849691799
10.6_-32.1,10.0630843783885,-32.596889455889,10.1041765997828,-32.5588605911884,9.2534647,3.05492111321551,2,10.6,-32.1,10.0630843783885,0.633811507008916,0.496889455888997
10.6_-32.1,10.0818661193443,-32.2819568961936,10.1224466383747,-32.2677059360376,9.49182224,3.05492111321551,2,10.6,-32.1,10.0818661193443,0.611640269927532,0.181956896193597
10.6_-32.1,10.5820025785132,-31.9001245871428,10.5834890772884,-31.916633316275,9.31127548,3.05492111321551,2,10.6,-32.1,10.5820025785132,0.0212453733429969,0.199875412857203
10.7_-33.1,10.5599657409207,-33.4181611696877,10.5711128224745,-33.3928347350774,9.43756104,3.05492111321551,2,10.7,-33.1,10.5599657409207,0.167161430562553,0.318161169687699
10.7_-33.1,10.8338464809568,-32.9347085779569,10.8226322831126,-32.9485573597513,9.21872997,3.05492111321551,2,10.7,-33.1,10.8338464809568,0.159774967780079,0.165291422043104
10.7_-33.1,10.192504312229,-32.7213676279801,10.232517392047,-32.7512205857262,9.25610924,3.05492111321551,2,10.7,-33.1,10.192504312229,0.60580679135159,0.378632372019901
10.8_-34.1,10.578512184648,-33.9802897912792,10.5966221810383,-33.9900779209077,9.50162601,3.05492111321551,2,10.8,-34.1,10.578512184648,0.26747787098506,0.119710208720804
10.8_-34.1,10.3356172232809,-33.7041762346087,10.3713747907949,-33.7346547444161,8.46319771,3.05492111321551,2,10.8,-34.1,10.3356172232809,0.560807899258704,0.395823765391299
10.8_-34.1,11.1046754549318,-33.8517194369509,11.080592930215,-33.8713443286169,8.93979549,3.05492111321551,2,10.8,-34.1,11.1046754549318,0.367938714357931,0.2482805630491
10.8_-34.1,11.1529603334469,-33.6166971494325,11.1258310319969,-33.6538448611785,7.67226124,3.05492111321551,2,10.8,-34.1,11.1529603334469,0.426249536041128,0.483302850567505
11.2_-27.2,11.5592000435207,-27.0184804742081,11.5298627066243,-27.0333059164025,9.51155472,3.05492111321551,2,11.2,-27.2,11.5592000435207,0.403860390147166,0.181519525791899
11.2_-27.2,11.3160140701995,-27.1275011819432,11.3061971981564,-27.1336358828369,9.00175381,3.05492111321551,2,11.2,-27.2,11.3160140701995,0.130438424210912,0.0724988180568005
11.3_-28.2,11.6566132461559,-28.583643396122,11.6290863309181,-28.5540300282496,8.98819447,3.05492111321551,2,11.3,-28.2,11.6566132461559,0.404642969819662,0.383643396122
11.3_-28.2,11.4030244404131,-27.8531605436697,11.3948891391169,-27.8805486417498,8.1531744,3.05492111321551,2,11.3,-28.2,11.4030244404131,0.116900075872506,0.346839456330301
11.3_-28.2,11.2490013572042,-27.823485352947,11.2530156258997,-27.8531220428308,8.98280716,3.05492111321551,2,11.3,-28.2,11.2490013572042,0.0578672904052571,0.376514647053
11.3_-28.2,11.2919545209795,-27.7311804955592,11.2925797449729,-27.7676130313969,8.84533024,3.05492111321551,2,11.3,-28.2,11.2919545209795,0.00912906786152854,0.468819504440798
11.3_-28.2,11.4932790770259,-27.6917275332874,11.4784002220732,-27.7308549568298,9.50217438,3.05492111321551,2,11.3,-28.2,11.4932790770259,0.219310473110056,0.508272466712601
11.4_-29.2,11.8137717931812,-29.1313464078473,11.7803948341522,-29.1368843593709,8.94470501,3.05492111321551,2,11.4,-29.2,11.8137717931812,0.474007708082411,0.0686535921526996
